ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
30312,ATLANTA,Atlanta,GA,FULTON,Fulton,33.743358,-84.38324300000001,1506.0
30324,ATLANTA,Atlanta,GA,FULTON,Fulton,33.819787,-84.360213,1420.0
30326,ATLANTA,Atlanta,GA,FULTON,Fulton,33.849882,-84.36109499999999,1588.0
30327,ATLANTA,Atlanta,GA,FULTON,Fulton,33.864887,-84.423887,1431.0
30328,ATLANTA,Atlanta,GA,FULTON,Fulton,33.934558,-84.395657,1393.0
30338,ATLANTA,Atlanta,GA,DEKALB,Dekalb,33.944716,-84.31805899999999,1229.0
30339,ATLANTA,Atlanta,GA,FULTON,Fulton,33.875915,-84.454631,1324.0
30346,ATLANTA,Atlanta,GA,DEKALB,Dekalb,33.924714,-84.33798399999999,1388.0
30349,ATLANTA,Atlanta,GA,FULTON,Fulton,33.62189,-84.521194,870.0
30350,ATLANTA,Atlanta,GA,FULTON,Fulton,33.983238,-84.323001,1004.0
34210,BRADENTON,Bradenton,FL,MANATEE,Manatee,27.449218,-82.642741,1025.0
34232,SARASOTA,Sarasota,FL,SARASOTA,Sarasota,27.326203999999997,-82.47223100000001,1444.0
34236,SARASOTA,Sarasota,FL,SARASOTA,Sarasota,27.326394,-82.559301,1666.0
34747,KISSIMMEE,Kissimmee,FL,OSCEOLA,Osceola,28.306137,-81.588964,1244.0
35205,BIRMINGHAM,Birmingham,AL,JEFFERSON,Jefferson,33.493464,-86.800177,752.0
35242,BIRMINGHAM,Birmingham,AL,SHELBY,Shelby,33.399602,-86.682992,778.0
35243,BIRMINGHAM,Birmingham,AL,JEFFERSON,Jefferson,33.446444,-86.740832,1069.0
35806,HUNTSVILLE,Huntsville,AL,MADISON,Madison,34.759182,-86.68964100000001,706.0
37064,FRANKLIN,Franklin,TN,WILLIAMSON,Williamson,35.883237,-86.96113299999999,1322.0
37067,FRANKLIN,Franklin,TN,WILLIAMSON,Williamson,35.908356,-86.77793199999999,1348.0
37075,HENDERSONVILLE,Hendersonville,TN,SUMNER,Sumner,36.34544,-86.601676,991.0
37203,NASHVILLE,Nashville,TN,DAVIDSON,Davidson,36.150436,-86.791327,1751.0
37204,NASHVILLE,Nashville,TN,DAVIDSON,Davidson,36.107968,-86.776186,1418.0
37211,NASHVILLE,Nashville,TN,DAVIDSON,Davidson,36.068396,-86.723889,1068.0
37212,NASHVILLE,Nashville,TN,DAVIDSON,Davidson,36.132309,-86.80362099999999,1418.0
37214,NASHVILLE,Nashville,TN,DAVIDSON,Davidson,36.167891,-86.66045600000001,974.0
38103,MEMPHIS,Memphis,TN,SHELBY,Shelby,35.15684,-90.06845,1161.0
38104,MEMPHIS,Memphis,TN,SHELBY,Shelby,35.135619,-90.00187700000001,787.0
43201,COLUMBUS,Columbus,OH,FRANKLIN,Franklin,39.995575,-82.999464,872.0
43212,COLUMBUS,Columbus,OH,FRANKLIN,Franklin,39.985613,-83.044498,1269.0
43215,COLUMBUS,Columbus,OH,FRANKLIN,Franklin,39.96866,-83.025654,1261.0
43228,COLUMBUS,Columbus,OH,FRANKLIN,Franklin,39.955048,-83.134338,685.0
44107,LAKEWOOD,Lakewood,OH,CUYAHOGA,Cuyahoga,41.482537,-81.803525,725.0
44118,CLEVELAND,Cleveland,OH,CUYAHOGA,Cuyahoga,41.504386,-81.554126,683.0
44133,NORTH ROYALTON,North Royalton,OH,CUYAHOGA,Cuyahoga,41.314626000000004,-81.743504,858.0
45069,WEST CHESTER,West Chester,OH,BUTLER,Butler,39.336464,-84.413584,1141.0
45202,CINCINNATI,Cincinnati,OH,HAMILTON,Hamilton,39.109438,-84.488499,1334.0
45208,CINCINNATI,Cincinnati,OH,HAMILTON,Hamilton,39.13687,-84.434934,892.0
45220,CINCINNATI,Cincinnati,OH,HAMILTON,Hamilton,39.147425,-84.520238,711.0
45215,CINCINNATI,Cincinnati,OH,HAMILTON,Hamilton,39.238096999999996,-84.45969699999999,804.0
